Africa,アフリカ
Dominica,ドミニカ
Edmonton,エドモントン
Eirunepe,エイルネペ
El_Salvador,エルサルバドル
Ensenada,エンセナダ
Fort_Wayne,フォートウェイン
Fortaleza,フォルタレザ
Glace_Bay,グレースベイ
Godthab,ゴットホープ
Goose_Bay,グースベイ
Grand_Turk,グランドターク
Grenada,グレナダ
Guadeloupe,グアドループ島
Guatemala,グアテマラ
Guayaquil,グアヤキル
Guyana,ガイアナ
Halifax,ハリファックス
Havana,ハバナ
Hermosillo,エルモシヨ
Indiana,インディアナ州
Indianapolis,インディアナポリス
Knox,ノックス
Marengo,マレンゴ
Petersburg,ピーターズバーグ
Tell_City,市に伝える
Vevay,ビベー
Vincennes,ビンセンズ
Winamac,Winamac
Inuvik,インウビク
Iqaluit,イカルイト
Jamaica,ジャマイカ
Juneau,ジュノー
Kentucky,ケンタッキー州
Louisville,ルイビル
Monticello,モンティチェロ
Knox_IN,ノックス
Kralendijk,クラレ
La_Paz,ラパス
Lima,リマ
Los_Angeles,ロサンゼルス市
Lower_Princes,低プリンセス
Maceio,マセイオ
Managua,マナグア
Manaus,マナウス
Marigot,マリゴ
Martinique,マルティニーク島
Matamoros,マタモロス
Mazatlan,マサトラン
Menominee,メノミニー
Merida,メリダ
Metlakatla,Metlakatla
Mexico_City,メキシコシティ
Miquelon,ミクロン島
Moncton,モンクトン
Monterrey,モンテレイ
Montevideo,モンテビデオ
Montreal,モントリオール
Montserrat,モントセラト
Nassau,ナッソー
New_York,ニューヨーク
Nipigon,Nipigon
Nome,ノーム
Noronha,ノロニャ
North_Dakota,ノースダコタ州
Beulah,ベウラ
Center,センター
New_Salem,新しいセーラム
Ojinaga,オヒナガ
Panama,パナマ
Pangnirtung,パンナータング
Paramaribo,パラマリボ
Phoenix,フェニックス
Port-au-Prince,ポルトープランス
Port_of_Spain,ポートオブスペイン
Porto_Acre,ポルトアクレ
Porto_Velho,ポルトベリョ
Puerto_Rico,プエルトリコ
Rainy_River,レイニーリバー
Rankin_Inlet,ランキン湾
Recife,レシフェ
Regina,レジャイナ
Resolute,断固たる
Rio_Branco,リオブランコ
Rosario,ロサリオ
Santa_Isabel,サンタイサベル
Santarem,サンタレン
Santiago,サンティアゴ
Santo_Domingo,サントドミンゴ
Sao_Paulo,サンパウロ
Scoresbysund,スコアスビ
Shiprock,シップロック
Sitka,シトカ
St_Barthelemy,サンバルテルミ
St_Johns,セントジョンズ
St_Kitts,セントキッツ
St_Lucia,セントルシア
St_Thomas,セント·トーマス
St_Vincent,セントビンセント
Swift_Current,スウィフトカレント
Tegucigalpa,テグシガルパ
Thule,ツーレ
Thunder_Bay,サンダー·ベイ
Tijuana,ティフアナ
Toronto,トロント
Tortola,トルトラ島
Vancouver,バンクーバー
Virgin,処女
Whitehorse,ホワイトホース
Winnipeg,ウィニペグ
Yakutat,ヤクタット
Yellowknife,イェローナイフ
Antarctica,南極大陸
Casey,ケーシー
Davis,デイビス
DumontDUrville,DumontDUrville
Macquarie,マッコーリー
Mawson,モーソン
McMurdo,マクマード
Palmer,パーマー
Rothera,ロセラ基地
South_Pole,南極
Syowa,昭和
Vostok,ボストーク基地
Arctic,北極圏
Longyearbyen,ロングイェールビーン
Asia,アジア
Aden,アデン
Almaty,アルマトイ
Amman,アンマン
Anadyr,アナジル
Aqtau,アクタウ
Aqtobe,アクトベ
Ashgabat,アシガバート
Ashkhabad,アシハバード
Baghdad,バグダッド
Bahrain,バーレーン
Baku,バクー
Bangkok,バンコク
Beirut,ベイルート
Bishkek,ビシュケク
Brunei,ブルネイ
Calcutta,カルカッタ
Choibalsan,チョイバルサン
Chongqing,重慶市
Chungking,重慶市
Colombo,コロンボ
Dacca,ダッカ
Damascus,ダマスカス
Dhaka,ダッカ
Dili,ディリ
Dubai,ドバイ
Dushanbe,ドゥシャンベ
Gaza,ガザ
Harbin,ハルビン
Hebron,ヘブロン
Ho_Chi_Minh,ホー·チ·ミン
Hong_Kong,香港
Hovd,ホブド
Irkutsk,イルクーツク
Istanbul,イスタンブール
Jakarta,ジャカルタ
Jayapura,ジャヤプラ
Jerusalem,エルサレム
Kabul,カブール
Kamchatka,カムチャッカ半島
Karachi,カラチ
Kashgar,喀什
Kathmandu,カトマンズ
Katmandu,カトマンズ
Kolkata,コルカタ
Krasnoyarsk,クラスノヤルスク
Kuala_Lumpur,クアラルンプール
Kuching,クチン
Kuwait,クウェート
Macao,マカオ
Macau,マカオ
Magadan,マガダン
Makassar,マカッサル
Manila,マニラ
Muscat,マスカット
Nicosia,ニコシア
Novokuznetsk,ノボクズネツク
Novosibirsk,ノボシビルスク
Omsk,オムスク
Oral,経口
Phnom_Penh,プノンペン
Pontianak,ポンティアナク
Pyongyang,平壌
Qatar,カタール
Qyzylorda,Qyzylorda
Rangoon,ラングーン
Riyadh,リヤド
Saigon,サイゴン
Sakhalin,サハリン
Samarkand,サマルカンド
Seoul,ソウル
Shanghai,上海
Singapore,シンガポール
Taipei,台北
Tashkent,タシケント
Tbilisi,トビリシ
Tehran,テヘラン
Tel_Aviv,テル·アビブ
Thimbu,Thimbu
Thimphu,ティンプー
Tokyo,東京
Ujung_Pandang,ウジュンパンダン
Ulaanbaatar,ウランバートル
Ulan_Bator,ウランバートル
Urumqi,ウルムチ
Vientiane,ビエンチャン
Vladivostok,ウラジオストク
Yakutsk,ヤクーツク
Yekaterinburg,エカテリンブルク
Yerevan,エレバン
Atlantic,大西洋
Azores,アゾレス諸島
Bermuda,バミューダ
Canary,カナリア
Cape_Verde,カーボベルデ
Faeroe,フェロー諸島
Faroe,フェロー諸島
Jan_Mayen,ヤンマイエン島
Madeira,マデイラ
Reykjavik,レイキャビク
South_Georgia,サウスジョージア島
St_Helena,セントヘレナ
Stanley,スタンレー
Australia,オーストラリア
ACT,ACT
Adelaide,アデレード
Brisbane,ブリズベン
Broken_Hill,ブロークンヒル
Canberra,キャンベラ
Currie,カリー
Darwin,ダーウィン
Eucla,ユークラ
Hobart,ホバート
LHI,LHI
Lindeman,リンデマン
Lord_Howe,ロードハウ島
Melbourne,メルボルン
NSW,NSW
North,北
Perth,パース
Queensland,クイーンズランド州
South,南
Sydney,シドニー
Tasmania,タスマニア州
Victoria,ビクトリア
West,西
Yancowinna,Yancowinna
Brazil,ブラジル
Acre,エーカー
DeNoronha,DeNoronha
East,東
CET,CET
CST6CDT,CST6CDT
Canada,カナダ
Atlantic,大西洋
Central,セントラル
East-Saskatchewan,東·サスカチュワン
Eastern,東の
Mountain,マウンテン
Newfoundland,ニューファンドランド島
Pacific,パシフィック
Saskatchewan,サスカチュワン州
Yukon,ユーコン州
Chile,チリ
Continental,大陸の
EasterIsland,EasterIsland
Cuba,キューバ
EET,EET
EST,EST
EST5EDT,EST5EDT
Egypt,エジプト
Eire,エール
Etc,ETC
GMT,GMT
GMT+0,GMT +0
GMT+1,GMT +1
GMT+10,GMT +10
GMT+11,GMT +11
GMT+12,GMT +12
GMT+2,GMT 2
GMT+3,GMT +3
GMT+4,GMT +4
GMT+5,GMT 5
GMT+6,GMT 6
GMT+7,GMT +7
GMT+8,GMT +8
GMT+9,GMT +9
GMT-0,GMT-0
GMT-1,GMT-1
GMT-10,GMT-10
GMT-11,GMT-11
GMT-12,GMT-12
GMT-13,GMT-13
GMT-14,GMT-14
GMT-2,GMT-2
GMT-3,GMT-3
GMT-4,GMT-4
GMT-5,GMT-5
GMT-6,GMT-6
GMT-7,GMT-7
GMT-8,GMT-8
GMT-9,GMT-9
GMT0,GMT0
Greenwich,グリニッチ
UCT,UCT
UTC,UTC
Universal,ユニバーサル
Zulu,ズールー語
Europe,ヨーロッパ
Amsterdam,アムステルダム
Andorra,アンドラ
Athens,アテネ
Belfast,ベルファスト
Belgrade,ベオグラード
Berlin,ベルリン
Bratislava,ブラチスラバ
Brussels,ブリュッセル
Bucharest,ブカレスト
Budapest,ブダペスト
Chisinau,キシナウ
Copenhagen,コペンハーゲン
Dublin,ダブリン
Gibraltar,ジブラルタル
Guernsey,ガーンジー島
Helsinki,ヘルシンキ
Isle_of_Man,マン島
Jersey,ジャージ
Kaliningrad,カリーニングラード
Kiev,キエフ
Lisbon,リスボン
Ljubljana,リュブリャナ
London,ロンドン
Luxembourg,ルクセンブルク
Madrid,マドリード
Malta,マルタ
Mariehamn,マリーハムン
Minsk,ミンスク
Monaco,モナコ
Moscow,モスクワ
Oslo,オスロ
Paris,パリ
Podgorica,ポドゴリツァ
Prague,プラハ
Riga,リガ
Rome,ローマ
Samara,サマラ
San_Marino,サン·マリノ
Sarajevo,サラエボ
Simferopol,シンフェローポリ
Skopje,スコピエ
Sofia,ソフィア
Stockholm,ストックホルム
Tallinn,タリン
Tirane,チラナ
Tiraspol,チラスポリ
Uzhgorod,ウジゴロド
Vaduz,ファドゥーツ
Vatican,バチカン
Vienna,ウイーン
Vilnius,ヴィルニアス
Volgograd,ボルゴグラード
Warsaw,ワルシャワ
Zagreb,ザグレブ
Zaporozhye,ザポロジェ
Zurich,チューリッヒ
Factory,工場
GB,ギガバイト
GB-Eire,GB-エール
HST,HST
Hongkong,ホンコン
Iceland,アイスランド
Indian,インディアン
Antananarivo,アンタナナリボ
Chagos,チャゴス
Christmas,クリスマス
Cocos,ココス諸島
Comoro,コモロ諸島
Kerguelen,ケルゲレン
Mahe,マエ
Maldives,モルディブ
Mauritius,モーリシャス
Mayotte,マヨット島
Reunion,再会
Iran,イラン
Israel,イスラエル
Japan,日本
Kwajalein,クェゼリン
Libya,リビア
MET,MET
MST,MST
MST7MDT,MST7MDT
Mexico,メキシコ
BajaNorte,BajaNorte
BajaSur,BajaSur
General,一般
NZ,NZ
NZ-CHAT,NZ-CHAT
Navajo,ナバホ
PRC,中国
PST8PDT,PST8PDT
Pacific,パシフィック
Apia,アピーア
Auckland,オークランド
Chatham,チャタム
Chuuk,チューク
Easter,イースター
Efate,エファテ
Enderbury,エンダベリー
Fakaofo,ファカオフォ
Fiji,フィジー
Funafuti,フナフティ
Galapagos,ガラパゴス
Gambier,ガンビア
Guadalcanal,グアダルカナル
Guam,グアム島
Honolulu,ホノルル
Johnston,ジョンストン
Kiritimati,クリスマス島
Kosrae,コスラエ
Majuro,マジュロ
Marquesas,マルケサス諸島
Midway,ミッドウェイ
Nauru,ナウル
Niue,ニウエ
Norfolk,ノーフォーク
Noumea,ヌメア
Pago_Pago,パゴパゴ
Palau,パラオ
Pitcairn,ピトケアン
Pohnpei,ポンペイ
Ponape,ポナペ島
Port_Moresby,ポートモレスビー
Rarotonga,ラロトンガ島
Saipan,サイパン島
Samoa,サモア
Tahiti,タヒチ島
Tarawa,タラワ
Tongatapu,トンガタプ
Truk,トラック諸島
Wake,ウェーク
Wallis,ウォリス
Yap,ヤップ
Poland,ポーランド
Portugal,ポルトガル
ROC,ROC
ROK,韓国
Turkey,トルコ
US,米国
Alaska,アラスカ州
Aleutian,アリューシャン列島
Arizona,アリゾナ州
East-Indiana,東インディアナ州
Hawaii,ハワイ
Indiana-Starke,インディアナ州 - スターク
Michigan,ミシガン州
Pacific-New,パシフィック·新
W-SU,W-SU
WET,WET
